DATASET: ca4663.tsp
56116.7 118850
56183.3 119950
56166.7 120017
56100 120117
56066.7 120083
56016.7 120083
53366.7 117700
53166.7 117100
53183.3 117017
53066.7 116783
53533.3 117017
53550 117217
55600 120550
55783.3 120917
59916.7 128500
60066.7 128700
59550 126483
56533.3 117883
54848.6 112344
54035.6 109475
52433.3 105283
51700 102750
51550 102433
51633.3 102433
51950 102667
52866.7 103367
53116.7 103650
53200 103800
53283.3 104017
53483.3 104333
55433.3 107900
60100 112233
61116.7 112583
61383.3 112750
60883.3 111083
59416.7 97750
58766.7 94166.7
49566.7 54850
49150 53583.3
49183.3 53533.3
49283.3 53616.7
49433.3 53950
49416.7 54366.7
49516.7 54533.3
49483.3 54833.3
48966.7 57800
46433.3 71016.7
46183.3 73116.7
46033.3 74033.3
46033.3 74066.7
45950 74150
45900 74166.7
45450 74150
45450 74166.7
45616.7 74600
45633.3 74600
45616.7 74683.3
45650 74933.3
47033.3 79266.7
47066.7 79783.3
47250 81466.7
47300 82100
47433.3 82333.3
48133.3 82266.7
48083.3 82100
47666.7 80233.3
47650 80166.7
47633.3 80000
46683.3 72716.7
46466.7 71516.7
46366.7 71233.3
46266.7 71000
46050 70516.7
43966.7 66133.3
43883.3 66083.3
43850 65966.7
43733.3 65966.7
43800 65850
43700 65783.3
43516.7 65733.3
43833.3 65066.7
44633.3 64050
49533.3 57866.7
50850 56116.7
51033.3 55833.3
50900 55900
50733.3 56100
50600 56200
44783.3 63150
44716.7 63233.3
44916.7 63233.3
45133.3 63350
45433.3 63466.7
46116.7 63783.3
46566.7 63933.3
48633.3 64183.3
48933.3 64300
48983.3 64383.3
49050 64483.3
49266.7 63216.7
49216.7 63050
49483.3 58116.7
49500 57933.3
49500 57883.3
49583.3 56183.3
49600 55966.7
49633.3 55800
49600 55683.3
49650 54750
49616.7 54583.3
49433.3 54666.7
49266.7 54833.3
49283.3 54933.3
49266.7 55066.7
49150 55366.7
47600 65650
46950 69783.3
46700 71400
46666.7 71733.3
46633.3 71916.7
46616.7 71933.3
46666.7 72133.3
46716.7 72566.7
47216.7 74366.7
48150 77483.3
48233.3 77933.3
48250 79016.7
48250 79033.3
48216.7 78916.7
48116.7 77766.7
46800 72500
46750 72250
46683.3 71716.7
46650 71566.7
46650 71300
46433.3 67716.7
46400 67483.3
46033.3 65866.7
45750 64716.7
45700 64433.3
45883.3 64350
46150 64183.3
46800 64066.7
48433.3 64333.3
48616.7 64266.7
48650 64350
48383.3 64500
47783.3 64633.3
46300 64716.7
46100 64750
46083.3 64766.7
46033.3 65050
45766.7 66150
45666.7 66616.7
45633.3 66583.3
45133.3 66583.3
45116.7 66683.3
45133.3 66816.7
45050 66900
45066.7 67033.3
45166.7 67300
45200 71500
45166.7 72033.3
45100 72616.7
45116.7 72983.3
45133.3 73283.3
45183.3 73400
45250 73600
45366.7 73983.3
45383.3 74016.7
45433.3 73966.7
45483.3 73900
45483.3 73866.7
45500 73816.7
45533.3 73716.7
45516.7 73616.7
45283.3 71883.3
44633.3 65650
44650 65633.3
44716.7 64800
44733.3 64700
45066.7 64800
45033.3 64833.3
44983.3 64900
44950 65066.7
45383.3 70866.7
45416.7 71616.7
45416.7 72583.3
45433.3 72883.3
45450 73483.3
45450 73566.7
45450 73650
45450 73666.7
45450 73750
45433.3 73750
45450 73850
45466.7 73883.3
45500 74033.3
45583.3 75233.3
45683.3 76616.7
45950 79600
49183.3 108083
49700 112833
50233.3 117800
50383.3 118783
50633.3 119117
53066.7 121517
67433.3 134867
68216.7 135000
69000 134667
68700 134117
68350 133700
62833.3 116050
52250 81616.7
48550 71650
45400 63700
45133.3 62950
44933.3 62533.3
44900 62416.7
44800 62700
44650 63266.7
44733.3 64450
45050 73600
45016.7 74366.7
45016.7 74400
45016.7 74733.3
44783.3 75366.7
44366.7 76766.7
44333.3 76866.7
44250 76950
44216.7 76866.7
44366.7 76516.7
44716.7 75516.7
44850 75316.7
45100 75216.7
45450 75066.7
45616.7 75016.7
46416.7 75366.7
46550 75500
48166.7 77550
48466.7 78066.7
48466.7 78133.3
48833.3 78866.7
49000 79366.7
53816.7 89883.3
55850 92083.3
56816.7 94083.3
57200 94166.7
61133.3 100883
69200 114533
68783.3 114783
70733.3 117750
71616.7 117950
69850 124433
69383.3 123983
66083.3 118033
62983.3 113200
56783.3 98933.3
48700 77733.3
48666.7 77633.3
47166.7 72633.3
46866.7 71366.7
46883.3 71283.3
47016.7 70933.3
47050 70883.3
47050 70850
47116.7 70850
47133.3 70766.7
47000 70816.7
46933.3 70733.3
46800 70200
45616.7 66083.3
45350 64816.7
45350 64716.7
45250 63466.7
45250 63283.3
45366.7 63300
45416.7 63383.3
45433.3 63516.7
49416.7 90916.7
50950 101233
51166.7 103500
51316.7 105000
51450 105450
51550 105467
51416.7 105017
50716.7 103000
49183.3 97766.7
43883.3 79733.3
43783.3 79416.7
43800 79416.7
43866.7 79433.3
44066.7 80200
44500 81366.7
49683.3 97266.7
51350 102200
51450 102433
52400 104983
52633.3 105450
52783.3 105917
53300 107050
53350 107333
52766.7 108300
52766.7 108283
52533.3 107883
51700 107133
51483.3 106933
51116.7 106600
50800 106150
50633.3 106033
50450 106067
50450 106267
50466.7 106667
50800 107950
50883.3 108200
51383.3 110567
51416.7 110800
51500 111683
51466.7 112700
51466.7 112967
51500 113333
51383.3 113533
51316.7 113617
51033.3 113967
49683.3 115983
49466.7 116767
49483.3 117283
49283.3 117650
49283.3 117617
49250 116683
49250 116617
49733.3 113400
49800 113117
49883.3 113050
50166.7 112417
50583.3 112050
51633.3 111917
52216.7 111900
52583.3 112067
52666.7 112200
53466.7 112950
53550 113133
53583.3 113167
53716.7 113200
53716.7 113083
53583.3 110717
53383.3 108967
52916.7 106400
52800 106217
52650 106333
52833.3 106883
52966.7 108383
53333.3 110333
54059.4 112945
55350 119783
55716.7 121183
56083.3 122750
56883.3 126500
56200 126850
55783.3 124700
55666.7 124500
51666.7 105467
50133.3 97316.7
45416.7 73683.3
45416.7 73666.7
45416.7 73650
45400 73000
45350 72516.7
45366.7 71866.7
45333.3 64783.3
45383.3 63916.7
45216.7 61366.7
45233.3 61200
45350 61000
45350 61250
62783.3 116033
66266.7 128633
69000 137367
69566.7 138900
67566.7 139800
67416.7 140983
65916.7 139617
64016.7 139100
63816.7 138667
63666.7 138617
62833.3 136583
60083.3 130600
56450 120917
56433.3 120783
56300 120533
54329.4 112953
53983.3 111283
53450 108700
53350 108350
53366.7 108050
53300 108083
53250 108000
53216.7 108000
52716.7 107350
52316.7 106283
52100 105750
51900 105450
51266.7 103733
50616.7 101283
49950 98933.3
49666.7 98000
49533.3 97366.7
49316.7 96300
48750 91200
48733.3 90933.3
48716.7 90733.3
48650 86283.3
48683.3 85650
48516.7 82916.7
48416.7 80316.7
48366.7 79416.7
48366.7 78866.7
48133.3 78116.7
48100 77900
48100 77766.7
46633.3 79016.7
46216.7 79366.7
46066.7 79350
45983.3 79366.7
45383.3 79783.3
45300 79933.3
45333.3 80033.3
45916.7 82466.7
46250 83883.3
46283.3 84033.3
51616.7 107750
52833.3 113450
52966.7 114433
54100 123017
54250 129833
54233.3 130283
54316.7 130333
54400 129100
54500 128583
54533.3 128483
54516.7 125183
54433.3 124250
52266.7 108900
52200 108450
52116.7 107217
52133.3 107050
52333.3 106783
52616.7 106650
52716.7 106583
52816.7 106500
52933.3 106783
53366.7 107517
53683.3 107700
54078.3 108253
54216.4 108052
53833.3 107033
53750 106967
53916.7 106083
54050 105783
54216.7 100600
53966.7 94766.7
53733.3 93666.7
52916.7 82433.3
51800 68166.7
51233.3 58650
51016.7 57100
51016.7 57033.3
50933.3 56983.3
50833.3 57033.3
50750 57166.7
47166.7 67916.7
45966.7 71816.7
45616.7 72950
45566.7 73200
45600 73533.3
45616.7 73650
45633.3 73816.7
46083.3 76050
46850 81016.7
48600 89983.3
49616.7 95183.3
49950 97100
49933.3 97116.7
49916.7 97083.3
49883.3 97000
49666.7 95900
49633.3 95716.7
49616.7 95616.7
49883.3 95416.7
49850 95550
49366.7 98250
49216.7 99333.3
49100 100600
49050 101167
49183.3 101250
49166.7 101450
49166.7 101783
49216.7 102167
49383.3 101867
49383.3 101717
49716.7 96733.3
53233.3 55716.7
53266.7 55733.3
53400 55783.3
53483.3 55900
53733.3 56800
53700 57016.7
50166.7 91450
50166.7 91533.3
51016.7 95666.7
51133.3 96200
51666.7 96833.3
51733.3 96916.7
53166.7 99283.3
54666.7 101783
54766.7 101883
55066.7 103067
55416.7 104550
55783.3 106217
55854.2 108484
55882.2 108952
55846.1 110907
56250 117150
56233.3 117283
56033.3 117117
55933.3 116917
55350 114983
54879.7 112522
54399.7 109226
48850 54016.7
48600 53400
48566.7 53100
48616.7 53033.3
48633.3 53100
49233.3 53516.7
51516.7 55483.3
51600 55533.3
57466.7 61833.3
58200 62633.3
58866.7 63250
42250 82433.3
42233.3 82550
42300 82716.7
50316.7 88416.7
53933.3 90983.3
57933.3 94200
67783.3 102367
68033.3 103433
55583.3 97150
52833.3 93633.3
50933.3 91383.3
49016.7 88250
44983.3 81250
44516.7 79616.7
44500 79466.7
44600 79366.7
44600 78933.3
44850 77833.3
45483.3 73600
45633.3 72566.7
45666.7 72150
45700 71450
45966.7 66633.3
46100 64666.7
46100 63933.3
46183.3 62883.3
46200 62833.3
46166.7 62650
46183.3 62533.3
46033.3 61533.3
46066.7 61366.7
46083.3 61416.7
46350 62250
46416.7 62266.7
47366.7 61933.3
47233.3 61850
46300 60616.7
46250 60616.7
45983.3 60983.3
45900 61100
45466.7 62700
45416.7 63033.3
45416.7 63600
45883.3 66900
45916.7 67033.3
45966.7 67233.3
46200 70483.3
46200 70766.7
46366.7 71616.7
46366.7 72016.7
46300 72266.7
46433.3 72350
46500 72250
46583.3 72183.3
46533.3 72350
45850 73233.3
45733.3 73450
45716.7 73483.3
44650 77116.7
44633.3 77283.3
44433.3 78266.7
44300 78550
44350 79783.3
44316.7 79883.3
44600 81133.3
49900 97250
50083.3 97866.7
49966.7 98300
50183.3 98316.7
50500 98033.3
50416.7 97950
50500 97500
50383.3 97266.7
49766.7 94550
45416.7 75700
45333.3 75250
45300 75083.3
45133.3 74483.3
45133.3 74500
45133.3 75083.3
45516.7 80283.3
45816.7 82583.3
45916.7 83116.7
49733.3 101783
50100 103867
50883.3 107383
51433.3 109450
51466.7 109600
52166.7 109517
52083.3 109433
52133.3 108950
52116.7 108133
52266.7 105517
52200 105117
53200 70916.7
53816.7 57133.3
53800 57016.7
53866.7 57000
53866.7 56900
54450 57216.7
54466.7 57250
54566.7 57266.7
45800 63466.7
44316.7 64416.7
44133.3 64650
44050 64750
43950 64816.7
44033.3 64716.7
44466.7 63600
45183.3 61666.7
45183.3 61650
45216.7 61733.3
45733.3 63050
46166.7 64566.7
47550 69416.7
48483.3 72350
54616.7 97783.3
54783.3 99783.3
55534.7 111197
56183.3 117600
56233.3 117967
56233.3 118600
56133.3 118500
56100 118083
55866.7 117367
55733.3 117117
55700 116900
55350 115767
48883.3 64550
47566.7 54233.3
47516.7 53666.7
47550 53550
47583.3 53550
47550 53666.7
46533.3 63683.3
46366.7 66566.7
46033.3 71366.7
45950 71983.3
45883.3 72483.3
45900 72516.7
46066.7 72800
46066.7 72833.3
46216.7 72600
46316.7 72516.7
46350 72550
46366.7 72500
46466.7 72533.3
46483.3 72666.7
46700 75450
47283.3 79716.7
48000 84783.3
48533.3 89583.3
48583.3 89900
48416.7 89616.7
48400 89233.3
46183.3 82333.3
45416.7 80100
45216.7 79333.3
44550 77333.3
44516.7 77216.7
44483.3 76683.3
44366.7 75933.3
43750 66116.7
43833.3 66116.7
43850 66150
45083.3 74183.3
46033.3 80600
46383.3 82650
49133.3 99466.7
49183.3 99666.7
49550 101083
49833.3 102283
50416.7 104600
50450 104617
50466.7 104417
50383.3 102567
50333.3 102250
50250 101967
49833.3 100133
49833.3 99950
46500 84333.3
46483.3 84066.7
45633.3 80083.3
45483.3 79466.7
45333.3 79216.7
45233.3 78883.3
45033.3 78516.7
44783.3 78650
44933.3 78733.3
45050 78800
45066.7 78900
45033.3 79300
45000 79300
44916.7 79366.7
44716.7 78933.3
44666.7 78800
44650 77550
44733.3 76850
45200 73866.7
45450 71766.7
45483.3 71666.7
46516.7 66266.7
46550 66116.7
46650 65866.7
48033.3 66483.3
48050 66616.7
48450 70900
48566.7 72250
50650 99966.7
50666.7 100817
50733.3 103200
51100 106983
51316.7 108750
51366.7 109983
51300 116967
51433.3 120200
51483.3 120700
51650 121283
51866.7 121667
51583.3 122250
51550 122317
50316.7 125083
50183.3 125150
50183.3 125083
50250 124967
50616.7 122433
50683.3 121933
50683.3 119817
50450 113850
50400 113250
50216.7 109617
50116.7 107733
49816.7 104150
49100 95833.3
48650 90433.3
47433.3 79633.3
46866.7 75316.7
46666.7 73916.7
46616.7 72766.7
46550 72733.3
46533.3 72750
46516.7 72750
46583.3 73083.3
46933.3 74016.7
49133.3 81383.3
49783.3 83650
53700 97883.3
54583.3 101383
54750 101850
55166.7 102950
58716.7 111150
60033.3 112133
60016.7 112100
60000 111883
59866.7 111600
55116.7 101083
47666.7 81716.7
46816.7 79583.3
46250 78283.3
46216.7 78066.7
45483.3 77683.3
45366.7 77616.7
45500 78000
45500 78233.3
45550 78600
44850 79500
44683.3 79883.3
43433.3 81500
42816.7 82466.7
42850 82466.7
43000 82400
45966.7 81933.3
47416.7 81533.3
48583.3 81016.7
48533.3 80683.3
48450 78883.3
48433.3 77633.3
48400 77350
47666.7 70383.3
47650 70166.7
47700 69283.3
47716.7 69133.3
47733.3 65716.7
47750 65366.7
47816.7 65183.3
48316.7 58683.3
48500 54216.7
48550 53483.3
48550 53333.3
48583.3 53200
48516.7 53083.3
48483.3 53100
48166.7 52933.3
47550 52666.7
47450 52716.7
47516.7 52783.3
47533.3 52933.3
47516.7 52966.7
47650 53216.7
47066.7 65383.3
46850 71183.3
46850 71366.7
46850 72450
46766.7 78983.3
46666.7 80750
46700 80916.7
46700 81550
47333.3 84550
49766.7 94466.7
49933.3 94983.3
50566.7 97216.7
51850 102533
52066.7 103250
52666.7 104533
52950 105033
55097.2 108343
55098.1 108323
55150 107617
55100 105300
54666.7 102083
54283.3 101817
53950 102267
52733.3 105450
52650 105733
51883.3 107600
51800 107850
49633.3 114500
49583.3 114967
49616.7 115633
49616.7 116800
49983.3 117367
50700 117917
50883.3 118100
51000 118183
53400 117583
53433.3 117533
55716.7 117617
55800 117683
56066.7 118250
56066.7 118400
56050 118517
55766.7 118717
55783.3 118833
55316.7 119567
55266.7 119500
55600 118767
56116.7 117900
56150 117750
56133.3 117317
55233.3 114267
54799.2 112573
54006.4 108907
53000 104300
52200 100167
46850 71616.7
46800 71316.7
46800 71250
47116.7 70183.3
48133.3 65816.7
50233.3 57583.3
50183.3 57600
50033.3 57716.7
49916.7 57900
49733.3 57933.3
49133.3 62533.3
48866.7 64200
48833.3 64483.3
48816.7 64450
48766.7 64383.3
47833.3 59316.7
47816.7 59200
47466.7 55533.3
47383.3 54783.3
47400 54516.7
47400 54333.3
47433.3 54466.7
47483.3 55116.7
47583.3 57266.7
47616.7 58716.7
47600 59016.7
47916.7 59033.3
48016.7 58950
48066.7 58866.7
