DATASET: mu1979.tsp
23101.7 57910
23116.7 57916.7
23165.6 57926.9
23176.9 57911.1
23215 57872.5
23283.3 57833.3
23287.8 57830.3
23178.6 57866.1
23174.2 57867.8
23161.7 57858.1
23166.9 57849.2
23146.1 57851.4
23139.7 57843.6
23118.1 57836.7
23108.1 57836.4
23104.4 57835.3
23100 57833.3
23107.2 57819.7
23150 57816.7
23152.2 57776.9
23141.1 57755.8
23156.9 57741.4
23154.7 57738.1
23142.8 57734.7
23138.6 57734.7
23140 57741.9
23126.4 57753.9
23096.1 57758.6
23094.2 57756.4
23085.6 57739.4
23089.4 57735
23092.8 57730.6
23091.1 57724.4
23077.5 57709.7
23060 57701.1
23067.8 57695.6
23063.3 57680.8
23072.2 57666.7
23072.5 57662.5
23065.8 57659.7
23066.1 57663.3
23062.2 57666.1
23053.3 57658.9
23043.9 57670.3
23025.3 57667.8
23011.4 57701.1
22983.3 57666.7
22966.7 57683.3
22950 57666.7
22950 57650
22933.3 57666.7
22916.7 57716.7
23003.3 57776.7
22983.3 57783.3
22933.3 57783.3
22933.3 57766.7
22900 57766.7
22883.3 57750
22783.3 57850
22766.7 57850
22783.3 57816.7
22783.3 57800
22766.7 57750
22816.7 57750
22800 57716.7
22783.3 57666.7
22766.7 57666.7
22766.7 57633.3
22783.3 57600
22800 57583.3
22933.3 57600
22983.3 57583.3
22966.7 57550
22950 57533.3
22933.3 57533.3
22883.3 57533.3
22866.7 57516.7
22850 57466.7
22816.7 57533.3
22766.7 57516.7
22766.7 57483.3
22783.3 57433.3
22916.7 57316.7
22900 57250
22916.7 57250
22933.3 57266.7
22950 57266.7
22950 57283.3
22966.7 57300
23000 57316.7
23052.5 57410.3
23042.5 57448.1
23020.6 57522.2
23020 57536.4
23074.2 57550
23073.6 57538.6
23076.4 57535.8
23083.3 57516.7
23087.2 57517.8
23090.6 57521.9
23126.4 57520.6
23147.2 57517.5
23149.7 57529.4
23156.1 57540
23158.6 57545.6
23148.3 57559.2
23143.3 57564.4
23132.5 57560.3
23125.6 57568.1
23118.9 57577.5
23114.4 57577.5
23107.5 57563.6
23107.8 57559.2
23112.5 57541.1
23098.1 57553.3
23102.5 57556.9
23104.7 57558.9
23095.3 57564.4
23086.9 57555.6
23062.2 57569.2
23061.4 57572.8
23071.4 57601.9
23083.6 57611.1
23068.6 57640.8
23116.7 57650
23147.2 57602.5
23181.9 57607.2
23185 57618.6
23185.6 57636.7
23180.8 57654.4
23172.5 57670.6
23140.8 57666.1
23133.6 57672.8
23145.3 57673.9
23166.7 57683.3
23199.4 57721.4
23200 57679.4
23211.4 57673.1
23268.9 57700.6
23226.9 57645
23210.8 57662.2
23202.8 57661.9
23188.9 57631.7
23185.6 57626.1
23185 57613.1
23189.2 57610
23188.1 57574.2
23187.5 57563.9
23191.9 57557.5
23195.6 57557.5
23203.9 57562.2
23206.1 57562.5
23210.3 57555.3
23204.4 57525.6
23204.2 57511.4
23216.9 57505.3
23239.2 57535.3
23228.1 57559.4
23318.6 57576.7
23302.8 57550
23300.6 57545.3
23298.9 57534.7
23299.7 57529.4
23306.1 57531.1
23311.7 57478.9
23284.7 57469.2
23281.9 57464.4
23272.5 57456.7
23219.2 57441.4
23211.1 57455.3
23213.6 57459.4
23184.2 57490.8
23165.3 57483.6
23140.6 57471.9
23118.1 57449.7
23093.9 57430.6
23142.2 57447.2
23173.1 57430.6
23185.3 57411.7
23188.6 57386.4
23208.1 57381.4
23216.9 57402.5
23267.2 57397.5
23246.7 57373.6
23198.6 57373.1
23194.7 57371.1
23157.2 57347.8
23158.3 57339.2
23151.4 57341.1
23139.2 57312.2
23101.9 57310.8
23086.4 57298.1
23083.3 57300
23063.1 57264.7
23083.3 57280.8
23120.6 57283.1
23158.1 57298.9
23158.1 57301.9
23181.4 57296.7
23173.6 57318.3
23178.6 57318.1
23187.5 57317.2
23210 57338.6
23220 57332.8
23223.3 57333.9
23227.2 57329.4
23223.6 57323.1
23224.7 57322.2
23219.7 57314.4
23222.8 57302.8
23232.2 57286.9
23250.3 57286.1
23242.2 57301.7
23247.5 57317.2
23252.8 57340.6
23271.4 57328.9
23288.9 57328.9
23310 57321.9
23256.4 57299.7
23261.1 57282.2
23266.9 57278.3
23266.4 57267.8
23312.5 57230.8
23265.3 57210.3
23240.6 57195
23216.1 57148.1
23233.9 57129.7
23298.6 57168.6
23378.3 57188.3
23406.7 57170.8
23400.8 57178.6
23383.3 57210.8
23390.8 57216.7
23397.5 57216.7
23397.2 57243.3
23341.9 57311.4
23368.1 57308.6
23389.7 57313.9
23412.5 57305.3
23429.7 57302.5
23433.1 57318.6
23418.6 57347.5
23440 57320.6
23445.3 57321.7
23455 57312.8
23460 57314.2
23459.7 57311.1
23462.2 57308.6
23465.3 57310
23467.8 57308.3
23471.7 57299.7
23465.3 57274.2
23481.4 57287.2
23484.2 57306.4
23527.5 57330.8
23512.8 57367.2
23400.3 57416.9
23390.8 57424.4
23386.4 57422.2
23391.1 57431.4
23392.8 57435
23416.4 57426.7
23417.5 57429.7
23425 57432.8
23431.7 57440.6
23478.1 57442.8
23490.8 57453.9
23464.7 57453.1
23455.6 57592.2
23450 57600
23432.5 57635
23355 57632.5
23360.6 57653.3
23380 57662.8
23381.9 57660.8
23389.4 57662.8
23399.4 57663.1
23444.2 57700.3
23396.4 57767.2
23376.7 57822.5
23389.2 57837.2
23394.4 57831.4
23418.9 57811.7
23444.4 57804.4
23455.8 57888.3
23488.1 57918.6
23492.8 57949.4
23507.5 57918.6
23512.2 57844.7
23496.1 57830.8
23484.4 57687.2
23462.5 57674.4
23465.6 57666.1
23468.1 57660.8
23461.4 57665
23455 57662.8
23447.2 57661.7
23438.1 57671.1
23444.4 57653.9
23445.8 57632.8
23483.3 57600
23483.9 57594.4
23507.8 57552.5
23561.4 57556.7
23520 57486.9
23537.8 57469.4
23551.4 57473.6
23551.4 57447.2
23563.1 57444.2
23572.8 57444.7
23559.4 57338.9
23547.5 57333.6
23619.4 57266.7
23611.1 57251.9
23598.1 57241.1
23652.5 57216.7
23639.7 57193.1
23657.2 57157.8
23650 57090
23636.9 57117.2
23610.8 57138.6
23565 57182.8
23575.3 57207.2
23576.7 57214.2
23554.2 57230.6
23550 57233.3
23545 57212.8
23518.6 57224.2
23530.6 57190.6
23505 57189.2
23477.5 57169.4
23474.4 57166.9
23493.1 57115
23483.3 57116.7
23424.7 57163.6
23421.4 57151.1
23419.4 57130.6
23409.7 57115.8
23426.7 57123.9
23440.8 57118.9
23449.7 57114.7
23457.2 57085.6
23435.3 57046.9
23455.8 57033.6
23474.2 57019.7
23493.1 57014.2
23492.2 57006.1
23516.7 56916.7
23473.1 56888.6
23450 56883.3
23403.3 56887.2
23400 56860
23496.1 56830.6
23465.8 56794.4
23450 56783.3
23416.7 56783.3
23423.3 56762.5
23435.3 56741.1
23421.1 56724.2
23466.7 56650
23471.9 56656.1
23548.3 56781.1
23540.3 56695
23581.4 56645.8
23643.9 56644.4
23687.8 56551.4
23680.6 56542.8
23701.4 56510.8
23783.3 56600
23779.7 56621.1
23769.2 56630
23768.6 56649.4
23764.4 56661.1
23767.8 56670
23762.5 56679.7
23752.5 56683.6
23792.2 56695.3
23783.6 56718.6
23800 56766.7
23808.6 56771.4
23764.2 56795.3
23760 56779.2
23733.3 56766.7
23701.9 56752.2
23688.1 56755.6
23633.3 56800
23636.7 56804.4
23683.3 56900
23716.1 56888.6
23716.7 56900
23721.4 56904.7
23716.1 56905
23703.1 56908.1
23665 56926.1
23621.1 56939.2
23626.9 56952.8
23616.4 56956.9
23678.9 57068.9
23700 57024.7
23720.3 57035
23736.9 57044.2
23759.7 57022.8
23783.9 57037.2
23783.3 57033.3
23809.4 56982.2
23750 56966.7
23754.7 56928.3
23766.9 56849.4
23790.8 56873.1
23870.8 56908.9
23843.3 56782.5
23850 56683.3
23888.9 56734.4
23919.4 56756.4
23918.1 56729.7
23915.8 56714.2
23920.8 56694.7
23916.7 56666.7
23883.3 56650
23860.3 56641.7
23831.1 56629.2
23814.7 56613.1
23820.3 56608.6
23844.4 56565.8
23855.3 56556.1
23884.2 56536.7
23902.5 56523.3
23896.4 56565
23919.4 56565.8
23920.8 56553.3
23932.8 56550.6
23940.3 56564.4
23993.1 56650.6
24007.5 56741.4
24015 56752.8
24045.3 56783.6
24072.2 56781.7
24011.7 56696.1
24048.9 56566.9
24004.4 56510.6
23984.7 56494.2
23984.2 56489.7
23988.3 56485.8
24016.7 56466.7
24066.7 56416.7
24083.3 56466.7
24100 56450
24100 56433.3
24100 56416.7
24150 56433.3
24150 56416.7
24150 56400
24200 56350
24216.7 56333.3
24216.7 56350
24266.7 56366.7
24350 56366.7
24366.7 56350
24366.7 56333.3
24366.7 56316.7
24383.3 56316.7
24450 56283.3
24522.2 56277.5
24534.4 56278.6
24529.2 56293.6
24466.7 56333.3
24514.2 56359.4
24580.8 56390
24522.8 56399.4
24508.6 56445.3
24510.6 56458.3
24366.7 56416.7
24330 56513.1
24401.7 56576.1
24416.1 56582.2
24428.1 56611.1
24395.8 56670.3
24394.7 56690
24364.2 56718.6
24340.8 56765.6
24317.8 56782.2
24315.8 56784.2
24284.2 56805.6
24242.2 56835.3
24227.8 56847.2
24223.6 56850.6
24206.4 56850
24210.6 56861.1
24200 56883.3
24196.1 56874.2
24191.1 56876.4
24187.8 56861.1
24174.2 56861.7
24169.4 56864.4
24172.2 56888.6
24168.6 56886.7
24164.2 56893.9
24166.7 56900
24158.6 56898.3
24142.2 56910.3
24122.2 56928.6
24111.4 56941.1
24090.6 56964.7
24079.4 56978.3
24074.2 56984.4
24061.9 57000
24057.2 57006.7
24054.4 57011.1
24051.9 57015
24037.5 57037.2
24023.9 57053.1
24016.1 57061.7
24012.2 57069.4
24016.7 57083.3
24003.6 57079.7
23991.1 57093.3
23981.1 57104.4
23985.8 57073.3
23970.3 57078.9
23968.6 57075.3
23964.4 57074.4
23958.9 57107.8
23943.3 57122.2
23963.9 57127.5
23949.2 57149.4
23944.2 57160.8
23927.8 57169.2
23933.3 57183.3
23916.7 57216.7
23908.3 57245.6
23906.7 57249.7
23904.4 57250.8
23900 57266.7
23899.7 57270.6
23897.5 57276.7
23895.6 57281.7
23890 57299.4
23883.3 57316.7
23881.1 57335.6
23879.2 57340.6
23850.3 57359.2
23853.9 57361.9
23860.3 57359.2
23870.6 57362.5
23867.2 57373.6
23857.5 57373.9
23855.3 57382.5
23862.5 57393.3
23859.2 57397.8
23860 57406.7
23856.7 57413.6
23853.3 57426.7
23850.3 57433.1
23849.4 57438.6
23839.4 57428.3
23833.6 57448.1
23828.1 57451.1
23816.4 57471.4
23831.1 57475
23825.3 57484.7
23833.3 57491.4
23833.3 57500
23824.2 57508.6
23808.3 57549.2
23793.6 57588.1
23788.3 57604.7
23786.4 57612.8
23784.2 57616.4
23774.2 57618.3
23780.3 57635.3
23771.1 57634.7
23774.7 57639.7
23778.1 57644.2
23770.8 57647.2
23763.3 57651.7
23756.9 57652.2
23771.1 57676.9
23769.2 57765.3
23733.3 57833.3
23720.3 57857.2
23709.2 57886.9
23706.7 57905.6
23704.2 57932.2
23687.5 57983.6
23705.6 58015
23700.6 58036.4
23698.6 58037.2
23702.8 58070.6
23690 58106.1
23675.8 58141.9
23680.3 58182.5
23632.8 58248.1
23614.2 58250.6
23563.6 58250
23567.8 58123.3
23539.2 58188.6
23525.8 58185.6
23486.1 58200.3
23439.7 58208.3
23450.3 58218.3
23458.6 58225.8
23464.7 58268.3
23468.9 58276.9
23462.8 58297.8
23463.3 58301.7
23458.3 58298.3
23455.8 58304.7
23482.2 58328.1
23484.7 58347.5
23510.8 58338.6
23516.7 58350
23528.3 58333.6
23534.2 58342.5
23531.4 58381.7
23529.4 58388.6
23531.7 58389.4
23536.4 58401.4
23541.7 58405.3
23549.7 58404.4
23551.7 58409.7
23600.6 58376.4
23589.2 58405.6
23611.1 58456.9
23603.3 58501.7
23600 58516.7
23533.3 58516.7
23524.7 58506.7
23524.2 58497.5
23495.6 58501.7
23399.7 58516.4
23398.1 58522.8
23431.4 58552.2
23435.3 58562.5
23450 58583.3
23575.6 58548.1
23588.6 58560.6
23590.6 58550
23600 58533.3
23614.4 58538.9
23629.2 58525.6
23630.8 58543.6
23632.8 58561.7
23622.8 58550.8
23603.3 58554.7
23612.8 58564.4
23616.7 58566.7
23617.2 58566.9
23619.7 58578.9
23620 58590.3
23613.3 58593.3
23604.2 58596.9
23596.1 58596.7
23593.9 58601.7
23570 58613.9
23561.1 58630
23551.4 58642.8
23526.7 58665
23508.3 58646.9
23471.7 58674.4
23514.7 58700.3
23501.4 58732.5
23435.6 58781.1
23392.2 58752.8
23352.5 58722.2
23322.2 58741.4
23316.7 58733.3
23278.9 58752.5
23271.4 58751.7
23258.3 58720.3
23236.1 58707.2
23237.8 58722.5
23243.9 58764.7
23260 58782.2
23255 58787.5
23175.3 58814.2
23148.6 58830.3
23158.3 58854.2
23259.4 58884.7
23263.9 58903.1
23271.9 58907.8
23262.8 58916.1
23265.8 58923.1
23246.4 58917.2
23239.4 58910.8
23240.3 58901.4
23236.7 58896.9
23219.4 58914.7
23169.4 58922.2
23201.4 58953.3
23205.6 58965.6
23209.4 58977.5
23201.7 58986.1
23196.9 58989.2
23187.2 58982.8
23177.2 58986.9
23182.8 58989.7
23183.3 59000
23079.7 59054.7
23016.7 59116.7
22992.2 59138.3
22938.3 59133.9
22894.2 59165
22889.2 59184.2
22926.7 59211.9
22830.8 59225
22833.1 59233.1
22839.2 59248.1
22830.8 59254.7
22827.2 59256.1
22828.3 59258.3
22822.2 59261.1
22801.4 59243.6
22798.6 59232.2
22792.5 59230.6
22785.8 59228.9
22770.8 59213.6
22676.4 59310.8
22650.3 59347.8
22700.8 59370
22631.1 59437.5
22611.7 59468.1
22603.3 59465.3
22579.2 59500.3
22580 59511.1
22568.9 59522.2
22566.7 59528.9
22566.9 59542.8
22557.8 59617.2
22528.6 59528.9
22549.2 59521.4
22545.6 59506.4
22559.2 59477.2
22519.7 59410
22539.4 59381.1
22496.4 59396.4
22449.2 59374.2
22428.6 59410.3
22430.8 59385.3
22427.8 59361.1
22407.5 59325.6
22398.9 59324.7
22399.7 59248.6
22421.4 59252.5
22513.3 59341.1
22550.6 59328.1
22568.1 59290.8
22588.3 59286.4
22599.7 59268.9
22617.2 59295
22635.3 59307.2
22640.3 59290.6
22642.2 59287.5
22647.8 59272.2
22646.9 59261.4
22645 59252.8
22656.7 59215.3
22731.7 59162.2
22750.6 59175.6
22799.7 59176.4
22806.9 59174.4
22785.8 59139.2
22784.2 59138.9
22792.5 59121.4
22899.4 59085.8
22831.1 58990.3
22906.7 58883.1
22911.7 58880.8
22880.6 58775
22966.7 58800
22950 58816.7
23006.7 59009.7
23032.5 58991.4
23045 58982.2
23050 58983.3
23055.3 58980.8
23071.7 58992.5
23066.1 58985.8
23044.2 58940.8
23040 58933.3
23049.7 58928.1
23060.8 58911.9
23077.5 58871.1
23083.6 58866.7
23087.2 58861.4
23091.7 58862.5
23105.3 58847.8
23088.1 58853.1
23074.2 58866.1
22983.3 58783.3
23019.4 58740
23024.4 58743.1
23081.9 58725.3
23207.8 58685.3
23226.1 58676.1
23264.7 58626.4
23250 58583.3
23261.9 58591.1
23287.8 58604.4
23299.7 58598.9
23328.3 58595.6
23371.4 58640.6
23359.2 58579.2
23341.9 58581.1
23330.6 58581.7
23333.9 58578.1
23344.2 58551.7
23366.1 58532.8
23375.8 58515
23293.6 58530.3
23244.4 58531.9
23245.8 58557.2
23232.8 58569.4
23216.7 58566.7
23203.9 58585.3
23194.2 58606.1
23183.9 58598.6
23119.2 58532.8
23118.1 58541.7
23107.2 58561.1
23103.3 58567.8
23104.2 58580.6
23098.3 58573.6
23084.4 58567.8
23076.1 58570.3
23041.1 58544.2
23030.8 58583.1
23046.1 58608.6
23052.5 58615.8
23071.7 58610.6
23070.3 58614.4
23066.7 58616.7
23050.6 58623.9
23048.1 58623.1
