DATASET: ca4663.tsp
49650 54383.3
49416.7 54366.7
49350 54516.7
49266.7 54833.3
49266.7 55066.7
49650 54750
49616.7 54583.3
49700 54283.3
49600 54166.7
49733.3 54166.7
49366.7 54266.7
49450 54050
49600 54300
49683.3 54050
48950 53916.7
48850 53683.3
48700 53800
48416.7 53883.3
48400 53633.3
48400 53350
48633.3 53100
48616.7 53033.3
48483.3 53100
48516.7 53083.3
48166.7 52933.3
48066.7 52933.3
48033.3 52983.3
47966.7 53333.3
47766.7 53216.7
47733.3 53250
47783.3 53166.7
47883.3 54250
48016.7 54016.7
48050 53766.7
48366.7 53866.7
48233.3 53966.7
48666.7 53650
48550 53483.3
48850 54016.7
48900 54433.3
48266.7 54166.7
48183.3 53983.3
48433.3 54016.7
48350 54166.7
47866.7 53933.3
47833.3 54166.7
47700 54233.3
47316.7 53916.7
47400 54333.3
47433.3 54466.7
47366.7 54916.7
47283.3 54816.7
47533.3 54100
47183.3 54050
46883.3 53966.7
46633.3 53600
46800 53650
46716.7 53266.7
46666.7 53083.3
47016.7 53616.7
47216.7 53566.7
46966.7 53700
46866.7 53616.7
46916.7 53583.3
46733.3 53366.7
46933.3 52966.7
46966.7 52966.7
47083.3 52950
47433.3 53166.7
47650 52933.3
48016.7 53266.7
48050 53633.3
47516.7 53666.7
47550 53666.7
47116.7 53516.7
47133.3 53500
47750 53200
47800 53166.7
48033.3 53116.7
47916.7 53366.7
47900 53083.3
48000 53000
48083.3 53016.7
48583.3 53200
48566.7 53100
49150 53583.3
49100 53583.3
48600 53400
48433.3 53800
48416.7 53600
48366.7 53383.3
48283.3 53466.7
48650 53766.7
48666.7 54050
48683.3 54116.7
48500 54216.7
48150 53966.7
48133.3 53916.7
48166.7 53716.7
48133.3 53583.3
47650 53966.7
47300 54000
47133.3 54066.7
47233.3 53966.7
47283.3 53883.3
47433.3 53800
47416.7 53533.3
47100 54066.7
46916.7 54183.3
46800 54066.7
46616.7 53533.3
47016.7 52916.7
47216.7 52850
47250 52850
47450 52716.7
47333.3 52833.3
47283.3 52833.3
47633.3 52683.3
47550 52666.7
47633.3 52850
47500 53016.7
47516.7 53216.7
47583.3 53550
47783.3 53483.3
48100 53750
47633.3 53500
47533.3 53300
47683.3 53883.3
47633.3 53750
47716.7 53500
47450 53233.3
47433.3 53216.7
47616.7 53300
47683.3 53250
47716.7 52716.7
47650 52733.3
47516.7 52783.3
47716.7 52833.3
47766.7 52766.7
47516.7 52966.7
47466.7 53083.3
47383.3 53133.3
47533.3 52933.3
47583.3 53300
48183.3 53533.3
48550 53333.3
48500 53500
47866.7 53366.7
47650 53216.7
47550 53550
47816.7 53450
47666.7 54083.3
47650 54150
47483.3 54200
47383.3 54166.7
47400 54516.7
47383.3 54783.3
47483.3 55116.7
47650 55233.3
49083.3 55266.7
49866.7 55666.7
50200 55733.3
50716.7 55600
49916.7 55566.7
49883.3 55633.3
49966.7 55583.3
50900 55900
50133.3 56100
49933.3 56400
49683.3 55983.3
49700 56150
49616.7 56183.3
49850 56433.3
49916.7 56183.3
49483.3 56100
49583.3 56833.3
49766.7 56916.7
49866.7 56816.7
49166.7 57116.7
49533.3 56866.7
49583.3 56183.3
49416.7 56066.7
49500 55716.7
48966.7 56033.3
49016.7 56316.7
48816.7 56866.7
48816.7 56533.3
48850 56466.7
48933.3 55650
48950 55666.7
49783.3 55866.7
49750 56033.3
49600 55683.3
49633.3 55800
49283.3 54933.3
49333.3 55083.3
49333.3 54733.3
49483.3 54833.3
49000 54883.3
49233.3 55066.7
49316.7 55400
49500 55250
49483.3 55283.3
49500 55400
49366.7 55333.3
49150 55366.7
49016.7 55516.7
49566.7 54850
49516.7 54533.3
49433.3 54666.7
49266.7 54500
48783.3 54216.7
48083.3 53916.7
47850 53983.3
47566.7 54233.3
47766.7 54216.7
47683.3 54716.7
47650 54933.3
47150 55133.3
47050 55183.3
47166.7 55166.7
46900 55400
47133.3 55533.3
47233.3 55366.7
47183.3 55050
47266.7 54916.7
47533.3 54966.7
47616.7 55233.3
47683.3 55466.7
47466.7 55533.3
47483.3 55833.3
47600 55916.7
47866.7 55850
47566.7 56750
47600 56416.7
46950 55983.3
47550 55933.3
47516.7 55450
47500 55450
47500 55783.3
47100 55783.3
46900 55966.7
47066.7 55866.7
46933.3 55550
46866.7 55816.7
47583.3 56816.7
47583.3 57266.7
47600 57633.3
47550 56883.3
47516.7 57416.7
47666.7 58233.3
48016.7 58950
47616.7 59233.3
47850 59150
47783.3 59233.3
47566.7 59150
47683.3 59316.7
47833.3 59316.7
47916.7 59033.3
47616.7 58716.7
47600 59016.7
48233.3 58816.7
48200 58866.7
48250 58766.7
48183.3 58850
48433.3 58500
48650 58250
49016.7 57616.7
48966.7 57800
48966.7 58000
49100 58366.7
48450 58483.3
48516.7 58416.7
48383.3 58583.3
48550 58733.3
48550 58566.7
49050 58383.3
48700 58916.7
48650 58650
48566.7 58816.7
48550 58916.7
48500 59116.7
48516.7 58900
48616.7 59100
48650 58983.3
48316.7 58683.3
48066.7 58866.7
47816.7 59200
47866.7 59366.7
46133.3 59883.3
45916.7 59983.3
46116.7 60216.7
46250 60083.3
46216.7 60016.7
46233.3 60216.7
46233.3 60283.3
46250 60616.7
45966.7 60816.7
45350 61000
45650 60866.7
45583.3 60966.7
45950 60900
46066.7 61366.7
45650 61233.3
45716.7 61250
45716.7 61166.7
45966.7 61116.7
45900 61100
45600 61350
45616.7 61400
45483.3 61033.3
45516.7 61016.7
45600 61366.7
45616.7 61650
45216.7 61733.3
45183.3 61650
45400 61500
45183.3 61666.7
45216.7 61366.7
45350 61250
45233.3 61200
44800 62700
44900 62416.7
44966.7 62116.7
45066.7 61900
45133.3 61983.3
45616.7 61966.7
45583.3 62183.3
46016.7 62483.3
46350 62966.7
46300 62783.3
46416.7 62566.7
46166.7 62650
45750 62733.3
45583.3 62633.3
45716.7 63283.3
45683.3 63550
45416.7 63383.3
45400 63700
45433.3 63466.7
45433.3 63516.7
45383.3 63916.7
45216.7 64016.7
45150 64166.7
45100 64250
45116.7 64533.3
45066.7 64633.3
45033.3 64733.3
45066.7 64500
45183.3 64450
45400 64316.7
45416.7 64033.3
45266.7 63866.7
45416.7 63600
45050 63133.3
45133.3 62950
45466.7 62700
45566.7 62650
45550 62716.7
45400 62500
45666.7 62700
45833.3 63583.3
45733.3 63866.7
46250 63700
46533.3 63683.3
46416.7 63816.7
46433.3 63866.7
46400 63783.3
46683.3 64183.3
46533.3 64050
46433.3 63650
46950 64033.3
46666.7 64066.7
46700 64216.7
46800 64066.7
46566.7 63933.3
46350 63350
46283.3 63133.3
46250 63116.7
46300 63216.7
46450 63450
46216.7 63466.7
46250 63666.7
46433.3 64000
46233.3 64533.3
45916.7 64650
45616.7 64783.3
45600 64950
45933.3 65166.7
46000 65316.7
46250 65066.7
46466.7 65250
46633.3 64866.7
46733.3 64966.7
46616.7 65050
46733.3 65833.3
46550 66116.7
46516.7 66266.7
46450 66400
46166.7 65883.3
46133.3 66600
46366.7 66566.7
46233.3 66616.7
46400 66916.7
46400 67483.3
46283.3 66733.3
45950 66633.3
45983.3 66200
45883.3 66300
46266.7 66633.3
45966.7 66583.3
45966.7 66633.3
46083.3 66050
46833.3 65783.3
46650 65866.7
47066.7 65383.3
46583.3 65333.3
47233.3 65050
47033.3 65183.3
46900 65183.3
46900 65633.3
46950 65600
46683.3 64866.7
46466.7 64733.3
46300 64716.7
46216.7 64533.3
46166.7 64566.7
46100 64750
46116.7 64950
46366.7 64750
46100 64666.7
46083.3 64766.7
45950 64683.3
45833.3 64200
46150 64183.3
46116.7 63783.3
46216.7 63483.3
46366.7 63550
46416.7 63300
46200 62833.3
45733.3 63050
45850 63650
45183.3 63716.7
44883.3 63833.3
44966.7 63966.7
45066.7 63950
45183.3 63883.3
45316.7 63783.3
45466.7 63600
45800 63466.7
45716.7 64250
45733.3 64216.7
45700 64433.3
46000 64550
45883.3 64350
45633.3 64050
45616.7 63666.7
45783.3 63633.3
45550 63550
45316.7 63516.7
45250 63466.7
44966.7 63516.7
44650 63600
44466.7 63800
44466.7 63600
44583.3 64066.7
44700 63883.3
44366.7 64516.7
44550 64716.7
44733.3 64700
44733.3 64450
45066.7 64800
45100 64933.3
45083.3 64400
45166.7 64366.7
45300 64400
45416.7 64550
45333.3 64766.7
45750 64716.7
46050 64100
46100 63933.3
45683.3 64216.7
45683.3 64383.3
45516.7 64333.3
45200 64116.7
45066.7 64183.3
44983.3 64133.3
44666.7 63950
44350 64250
44366.7 64316.7
44300 64366.7
44316.7 64416.7
44383.3 64966.7
44450 64850
44133.3 64650
43933.3 64850
44050 64750
44250 64550
44266.7 64600
44233.3 64450
44433.3 64366.7
44533.3 64233.3
45083.3 64366.7
45200 64616.7
45350 64816.7
45466.7 64783.3
45350 64716.7
45333.3 64783.3
45033.3 64833.3
45016.7 65166.7
44816.7 65516.7
44733.3 65516.7
44600 65750
44333.3 66116.7
43966.7 66133.3
44416.7 65983.3
44183.3 66150
44266.7 66350
44383.3 66216.7
44266.7 66316.7
44050 66166.7
43800 65850
43600 65466.7
43516.7 65600
43516.7 65733.3
43450 65633.3
43633.3 65483.3
43566.7 65566.7
43633.3 65350
43700 65116.7
44033.3 64716.7
43950 64816.7
43833.3 65066.7
43766.7 65316.7
43700 65783.3
43850 66150
43833.3 66116.7
43750 66116.7
43883.3 66083.3
43850 65966.7
43733.3 65966.7
43983.3 66016.7
44083.3 66033.3
44533.3 66016.7
44566.7 65633.3
44650 65633.3
44950 65266.7
44633.3 65650
44850 65150
44983.3 64900
44950 65066.7
45033.3 65066.7
44883.3 65166.7
44800 65050
44716.7 65216.7
44366.7 65033.3
44716.7 64800
44633.3 64850
44283.3 64366.7
44633.3 64050
44466.7 63716.7
44650 63266.7
44716.7 63233.3
44616.7 63483.3
44728.9 63664.4
44633.3 63350
44650 63550
44666.7 63566.7
45083.3 63400
45366.7 63300
45250 63283.3
45416.7 63033.3
44916.7 63233.3
45133.3 63350
44783.3 63150
44966.7 62250
44916.7 62383.3
44933.3 62533.3
45400 62183.3
45383.3 61983.3
45866.7 61966.7
45700 62266.7
45616.7 62616.7
45616.7 62416.7
45650 62850
45266.7 62066.7
45250 62016.7
45116.7 62016.7
45033.3 62000
45650 61516.7
45683.3 61433.3
45633.3 61400
45616.7 61233.3
45633.3 60666.7
45700 60733.3
45716.7 60250
46033.3 59983.3
46083.3 59933.3
45933.3 60000
46183.3 59866.7
46000 59850
45833.3 60133.3
46150 60166.7
46200 60250
46116.7 60233.3
46100 60500
46300 60616.7
46166.7 60233.3
46200 59966.7
46150 60283.3
46366.7 60516.7
46683.3 60366.7
47000 60466.7
47000 60516.7
46900 60466.7
46616.7 61016.7
46016.7 60650
45950 60783.3
46100 60750
46383.3 61066.7
45933.3 61016.7
45983.3 60983.3
46183.3 61266.7
46033.3 61533.3
46233.3 61283.3
46400 61150
46433.3 61100
46550 61033.3
46350 62250
46433.3 62066.7
46183.3 62883.3
46416.7 62700
46233.3 63133.3
45566.7 63000
46166.7 62916.7
46016.7 62883.3
46066.7 62816.7
45966.7 62566.7
46016.7 62533.3
46183.3 62533.3
46366.7 62866.7
46416.7 62433.3
46233.3 62616.7
46416.7 62266.7
47366.7 61933.3
47383.3 61866.7
47233.3 61850
46650 60966.7
46083.3 61416.7
45883.3 61500
45700 61483.3
45800 61483.3
47550 61566.7
49266.7 61850
50183.3 61816.7
49133.3 62533.3
49266.7 63216.7
49216.7 63050
50250 63583.3
50300 64016.7
49883.3 64483.3
49716.7 64066.7
49816.7 64350
49133.3 64750
48833.3 64600
48816.7 64450
48883.3 64550
48983.3 64383.3
49616.7 63800
50283.3 64333.3
50266.7 64766.7
50316.7 64500
50266.7 64150
50266.7 64916.7
50283.3 65200
50200 66383.3
50183.3 66633.3
50183.3 66100
50283.3 65583.3
49250 65566.7
49216.7 65750
49200 66166.7
49116.7 66483.3
47966.7 66283.3
48066.7 66366.7
48133.3 66300
48000 66666.7
47916.7 66000
48166.7 65833.3
48133.3 65816.7
47283.3 65616.7
46983.3 65566.7
47750 65366.7
47733.3 65716.7
47600 65650
47200 65150
47733.3 64700
47666.7 64833.3
47700 64850
47700 65166.7
47816.7 65183.3
48266.7 64750
48633.3 64183.3
48933.3 64300
48833.3 64483.3
48616.7 64266.7
49050 64483.3
48866.7 64200
48766.7 64383.3
48750 64583.3
48650 64350
48333.3 64666.7
48350 64616.7
48433.3 64333.3
48383.3 64500
48250 65900
48050 65466.7
48066.7 65566.7
48000 65333.3
47683.3 65433.3
48183.3 64983.3
48200 64866.7
48033.3 65250
47783.3 64950
47783.3 64633.3
47833.3 64700
47500 64916.7
47850 65766.7
48100 66100
48100 65683.3
48966.7 65516.7
49183.3 64883.3
49166.7 64916.7
49233.3 65316.7
49216.7 65133.3
49216.7 65916.7
49083.3 66683.3
48866.7 67100
48933.3 67166.7
48850 67516.7
48900 67333.3
48983.3 66983.3
48633.3 67116.7
48416.7 67333.3
48666.7 67333.3
48350 67216.7
48250 67250
48166.7 67150
48050 67083.3
48000 66766.7
48050 66616.7
48033.3 66483.3
47966.7 66766.7
47816.7 66883.3
47966.7 66933.3
47683.3 67100
47633.3 67333.3
47500 67383.3
46483.3 67416.7
46000 67466.7
45966.7 67233.3
45683.3 67183.3
45666.7 66616.7
45850 66466.7
46016.7 66833.3
45883.3 66900
45916.7 67033.3
45716.7 67000
45883.3 67466.7
45283.3 67266.7
45416.7 67183.3
45450 66350
45616.7 66083.3
45383.3 66000
45350 65533.3
45466.7 65883.3
45866.7 65816.7
46033.3 65866.7
45716.7 65516.7
46050 65550
45766.7 66150
45683.3 66100
45633.3 66583.3
45116.7 66683.3
44766.7 66750
44883.3 66950
45133.3 66816.7
45000 66933.3
45050 66900
45266.7 66066.7
45350 66233.3
45533.3 65833.3
45300 66200
45183.3 66333.3
44650 66850
45166.7 67300
45216.7 67133.3
45316.7 67200
45066.7 67033.3
45133.3 66583.3
45250 66100
45083.3 66416.7
44750 65516.7
45800 65116.7
46033.3 65050
46716.7 65416.7
46883.3 65516.7
47033.3 65433.3
46983.3 65550
47116.7 65600
46966.7 65733.3
46816.7 65800
46533.3 67166.7
46133.3 67183.3
46116.7 67150
45683.3 66916.7
45583.3 67333.3
45200 67266.7
46650 67583.3
46900 67383.3
47050 67733.3
47366.7 68333.3
46783.3 67500
46800 67716.7
46600 67733.3
46433.3 67716.7
46466.7 67566.7
46066.7 67683.3
46250 67683.3
46300 67516.7
45983.3 67600
46150 67566.7
46733.3 67700
47166.7 67916.7
47333.3 68666.7
47433.3 69050
47200 68833.3
47600 68800
47550 68650
48483.3 68433.3
48433.3 68583.3
48516.7 68466.7
48516.7 68333.3
48733.3 69066.7
47700 69283.3
48033.3 69216.7
47866.7 68733.3
47383.3 68900
47533.3 68916.7
47400 68866.7
47466.7 69000
47433.3 69033.3
47433.3 69416.7
47116.7 70333.3
46733.3 70366.7
46750 70583.3
46400 70500
46483.3 70200
46800 70200
47100 69983.3
47200 70266.7
46966.7 70550
46783.3 70750
47316.7 70566.7
46966.7 71016.7
46866.7 71366.7
46783.3 71300
46866.7 71266.7
46883.3 71283.3
46800 71250
46983.3 71366.7
46800 71316.7
46866.7 71433.3
46933.3 71466.7
46850 71366.7
46850 71183.3
46716.7 71266.7
46650 71300
46883.3 71516.7
46733.3 71266.7
46800 71166.7
46600 70850
46533.3 70766.7
46883.3 70816.7
46866.7 70916.7
46833.3 71166.7
46816.7 71250
46883.3 71166.7
46750 71350
46850 71350
46750 71233.3
46900 71133.3
46883.3 71150
47016.7 70933.3
46833.3 70850
46650 70800
46433.3 71016.7
46216.7 71083.3
45966.7 70950
45533.3 71283.3
45800 71900
45966.7 72383.3
46216.7 72433.3
46800 72500
46550 72466.7
46533.3 72750
46216.7 72600
45900 72516.7
45933.3 72433.3
45883.3 72483.3
45833.3 72566.7
45700 71450
45833.3 71383.3
46216.7 71383.3
46033.3 71366.7
45900 71350
46133.3 71216.7
46083.3 71300
46366.7 70916.7
46750 71266.7
46850 71616.7
46783.3 71383.3
46700 71400
46750 71700
46566.7 71833.3
46250 71516.7
46466.7 71516.7
46216.7 71766.7
46050 71966.7
45966.7 71816.7
46366.7 71233.3
46700 71583.3
46416.7 71933.3
46366.7 72016.7
46550 72116.7
46583.3 72050
46583.3 72183.3
46616.7 71933.3
46633.3 71916.7
46750 72250
46883.3 71833.3
46983.3 72183.3
47250 72250
46850 72450
46716.7 72566.7
46866.7 72383.3
46516.7 72750
46616.7 72766.7
46683.3 72716.7
46583.3 73083.3
46933.3 74016.7
47216.7 74366.7
46866.7 75316.7
46550 75500
46533.3 76033.3
45916.7 76916.7
45816.7 77116.7
45450 77316.7
45033.3 76700
45566.7 76766.7
45466.7 76400
45466.7 76683.3
45516.7 76233.3
45500 75816.7
45366.7 75800
45383.3 75800
45466.7 75700
45550 75416.7
45333.3 75683.3
45250 75916.7
45516.7 75866.7
45416.7 75700
45450 75250
45583.3 75416.7
45450 75066.7
45616.7 74600
45650 74333.3
45466.7 74300
45500 74033.3
45700 73783.3
45616.7 73783.3
45450 73750
45233.3 73800
45083.3 74183.3
45016.7 74366.7
45266.7 74233.3
45016.7 74400
44850 75316.7
44716.7 75516.7
44783.3 75366.7
45300 75083.3
45533.3 75283.3
45333.3 75600
45433.3 75650
45400 75850
45333.3 75900
45300 75883.3
44900 76016.7
45183.3 75833.3
45366.7 75883.3
45650 76033.3
45800 75950
45633.3 75933.3
45516.7 76000
45216.7 76200
45433.3 76366.7
45350 76033.3
45366.7 76483.3
45600 76483.3
45516.7 76416.7
45300 76716.7
44933.3 76683.3
45016.7 76833.3
45366.7 76983.3
45733.3 76850
45616.7 76883.3
45683.3 76616.7
45733.3 76600
45850 76750
46100 77500
46016.7 77450
46166.7 77566.7
45900 77283.3
47500 76700
48233.3 76583.3
48150 77483.3
48233.3 77933.3
48333.3 78116.7
48216.7 78383.3
48666.7 78700
49000 79366.7
48916.7 80133.3
48950 79483.3
51316.7 76900
52233.3 78516.7
53000 78816.7
53783.3 77616.7
54016.7 76533.3
49650 76483.3
48400 77250
48400 77350
48666.7 77466.7
48616.7 77633.3
48466.7 78133.3
48466.7 78066.7
48566.7 78116.7
48666.7 77633.3
48650 77983.3
48383.3 77666.7
48416.7 77516.7
48166.7 77550
48166.7 75633.3
46733.3 75300
46700 75450
46416.7 75366.7
46516.7 75350
46366.7 75966.7
45950 75950
46233.3 76016.7
46083.3 76050
45783.3 75100
45716.7 75050
45333.3 75250
45033.3 74900
45000 75000
45166.7 74133.3
45133.3 74000
45333.3 73816.7
45100 73750
45183.3 73850
45416.7 73650
45450 73583.3
46033.3 74066.7
45950 74150
45900 74166.7
45633.3 74366.7
45316.7 74050
45283.3 74050
45233.3 74250
45283.3 74233.3
45300 74633.3
45650 74933.3
45550 74866.7
45350 74500
45250 74133.3
45450 74166.7
45650 73766.7
45416.7 73666.7
45533.3 73700
45550 73700
45533.3 73716.7
45550 73666.7
45450 73666.7
45583.3 73600
45533.3 73516.7
45516.7 73666.7
45466.7 73466.7
45533.3 73350
45816.7 73433.3
45966.7 73466.7
45850 73766.7
45866.7 74083.3
46033.3 74200
46133.3 74183.3
45683.3 74400
45283.3 74850
45516.7 74650
45633.3 74600
46083.3 75616.7
45766.7 75583.3
45583.3 75233.3
45616.7 75016.7
45133.3 75083.3
45616.7 74683.3
46016.7 74766.7
46200 74633.3
46116.7 74583.3
46366.7 74883.3
46383.3 75016.7
46366.7 74766.7
46400 74866.7
46283.3 74733.3
46316.7 74216.7
46033.3 74033.3
46033.3 74283.3
46666.7 73916.7
46166.7 73416.7
45950 73583.3
46033.3 73700
45883.3 73283.3
45883.3 73150
45850 73233.3
45683.3 73183.3
46050 73116.7
46033.3 73433.3
45533.3 73816.7
45516.7 73650
45616.7 73650
45683.3 73633.3
45683.3 73433.3
45566.7 73650
45600 73533.3
45666.7 73566.7
45850 73483.3
45650 73483.3
45633.3 73516.7
45500 73483.3
45600 73616.7
45566.7 73616.7
45766.7 73350
45750 73483.3
45716.7 73483.3
45600 73733.3
45416.7 73683.3
45450 73483.3
45500 73583.3
45416.7 73500
45383.3 73516.7
45133.3 73283.3
45183.3 73400
45200 73866.7
45083.3 73366.7
45300 73250
45216.7 73300
45400 73000
45116.7 72983.3
45283.3 72966.7
45383.3 72733.3
45316.7 73233.3
45500 73500
45733.3 73450
46083.3 73166.7
45766.7 72983.3
45633.3 72933.3
45500 72900
45616.7 72950
45416.7 72583.3
45483.3 72316.7
45350 72516.7
45200 72750
45216.7 72516.7
45300 72316.7
45016.7 72083.3
45016.7 72150
45266.7 72150
45400 71900
45366.7 71866.7
45133.3 71800
45450 71766.7
45283.3 71883.3
45466.7 71933.3
45483.3 71666.7
45416.7 71616.7
45266.7 71516.7
45166.7 72033.3
45100 72616.7
45783.3 72016.7
45783.3 71933.3
45833.3 71666.7
45200 71500
45616.7 71616.7
46033.3 71916.7
46333.3 72433.3
46300 72266.7
46566.7 72000
46683.3 72033.3
46500 72250
46433.3 72350
46483.3 72033.3
46550 72100
46366.7 71616.7
46566.7 71433.3
46583.3 71616.7
46750 71816.7
46683.3 71883.3
46650 71566.7
46683.3 71716.7
46666.7 71733.3
46616.7 71733.3
46166.7 71883.3
45950 71983.3
45666.7 72150
45583.3 72000
45400 72033.3
45000 72100
45283.3 72116.7
45300 72266.7
45483.3 72600
45633.3 72566.7
45883.3 72766.7
46066.7 72833.3
46000 72916.7
46066.7 72800
46283.3 72833.3
46250 72933.3
46216.7 73016.7
46216.7 73533.3
46316.7 73650
46283.3 73366.7
45966.7 73216.7
45783.3 73150
46016.7 73166.7
46183.3 73116.7
46250 73083.3
46033.3 73133.3
45650 72900
45433.3 72883.3
45433.3 73166.7
45550 73233.3
45450 73266.7
45450 73300
45350 73466.7
45250 73600
45433.3 73833.3
45483.3 73866.7
45433.3 73750
45500 73816.7
45500 73966.7
45483.3 73900
45433.3 73966.7
45533.3 73883.3
45633.3 73850
45800 74016.7
45966.7 73716.7
45550 73733.3
45400 73583.3
45383.3 73750
45366.7 73750
45616.7 73750
45633.3 73816.7
45566.7 73850
45466.7 73883.3
45566.7 73900
45450 73850
45050 73600
45483.3 73500
45483.3 73600
45450 73566.7
45566.7 73200
45533.3 73166.7
45533.3 73216.7
45583.3 73516.7
45533.3 73483.3
45366.7 73550
45516.7 73616.7
45550 73866.7
45766.7 74000
45766.7 73983.3
45650 74100
45450 74150
45400 73916.7
45400 74033.3
45366.7 73983.3
45316.7 73933.3
45383.3 74016.7
45400 73933.3
45466.7 74083.3
45316.7 73850
45433.3 73650
45450 73650
45316.7 73866.7
45450 74116.7
45133.3 74350
45133.3 74500
45133.3 74483.3
45016.7 74733.3
44950 75066.7
45100 75216.7
45100 75350
44900 75183.3
45016.7 75633.3
44916.7 75833.3
45450 75683.3
45433.3 75733.3
45483.3 75650
45483.3 75600
45466.7 75516.7
45350 75933.3
45333.3 76283.3
45133.3 76133.3
44683.3 75966.7
44366.7 75933.3
44583.3 75683.3
44650 75650
44633.3 75850
44333.3 76333.3
44433.3 75950
44333.3 76166.7
44650 76250
44683.3 76400
44233.3 76483.3
44183.3 76766.7
44233.3 76616.7
44650 76716.7
44483.3 76683.3
44366.7 76766.7
44200 76750
44250 76950
44050 76933.3
44333.3 76866.7
44150 76766.7
44466.7 76883.3
44466.7 76983.3
44733.3 76850
44666.7 76683.3
44650 76316.7
44883.3 76233.3
44766.7 76683.3
44650 77116.7
45250 77116.7
45550 77416.7
46133.3 77700
45366.7 77616.7
45216.7 77400
45533.3 77100
45583.3 77250
45150 77250
44550 77333.3
44516.7 77216.7
43950 77350
44366.7 76516.7
44216.7 76533.3
44300 76566.7
44216.7 76866.7
44200 77033.3
44633.3 77283.3
44666.7 77333.3
44466.7 77300
44383.3 77016.7
44233.3 77033.3
44016.7 77150
44000 77233.3
44300 77800
44033.3 77733.3
44016.7 77883.3
44133.3 78183.3
44066.7 78366.7
43966.7 78166.7
44433.3 78266.7
44383.3 78200
44250 78166.7
45050 78800
45033.3 78516.7
45033.3 78216.7
45616.7 78400
45400 78083.3
45500 78000
45483.3 77683.3
45300 78033.3
45500 78233.3
46033.3 78466.7
46216.7 77883.3
46216.7 78066.7
48100 77900
48116.7 77766.7
48700 77733.3
48516.7 77683.3
48433.3 77633.3
48483.3 77800
48500 77666.7
48350 78116.7
48550 77950
48616.7 78366.7
48350 77983.3
48133.3 78116.7
48100 77766.7
47033.3 79266.7
47283.3 79333.3
47416.7 79283.3
47933.3 79250
48016.7 78933.3
48366.7 78866.7
48566.7 78833.3
48833.3 78866.7
48666.7 79200
48766.7 79000
48666.7 78983.3
48800 79200
48216.7 78916.7
48100 79716.7
48283.3 80233.3
48200 79416.7
48450 78883.3
48250 79016.7
48166.7 79533.3
48016.7 79950
47816.7 80000
47716.7 80333.3
47650 80783.3
48533.3 80466.7
48366.7 80250
48100 80100
48150 80033.3
48416.7 80316.7
48683.3 80733.3
48533.3 80683.3
48700 80783.3
48616.7 80933.3
48633.3 80866.7
