DATASET: dj38.tsp
25313.9 50883.3
25266.7 50969.2
25298.6 51001.7
25311.9 51003.1
25404.7 51073.1
25339.2 51173.3
25400 51183.3
25433.3 51220
25368.6 51226.4
25363.6 51281.1
25377.8 51294.7
25340.6 51293.6
25358.9 51333.6
25326.7 51350.3
25300.8 51394.4
25291.9 51424.4
25279.2 51445.6
25266.7 51483.3
25235.6 51495.6
25223.3 51451.7
25243.1 51452.5
25242.8 51428.9
25256.9 51398.9
25210.8 51394.2
25214.4 51378.9
25233.3 51333.3
25235.6 51330
25173.9 51269.4
25030.8 51275.3
25121.9 51218.3
25162.2 51220.8
25234.2 51203.1
25224.2 51174.4
25158.3 51163.6
25168.9 51086.4
25067.8 51077.5
25010 51039.4
24748.3 50840
24904.4 51175
24758.9 51211.9
24827.2 51394.7
24996.1 51548.9
25100 51516.7
25103.3 51521.7
25150.8 51537.8
25167.8 51606.9
25211.4 51619.2
25252.5 51559.2
25253.9 51549.7
25253.9 51535.3
25265.8 51545.3
25270.6 51532.8
25263.6 51516.4
25270.8 51505.8
25270.8 51523.1
25278.3 51525.6
25275.8 51533.6
25278.3 51541.4
25277.2 51547.8
25284.7 51555.3
25283.6 51546.7
25288.1 51546.7
25287.5 51537.8
25281.1 51535
25283.3 51533.3
25286.1 51534.2
25286.7 51533.3
25290.8 51528.3
25292.5 51520.8
25281.4 51512.5
25286.1 51504.2
25306.9 51507.8
END
DATASET: wi29.tsp
26150 10550
27166.7 9833.33
27266.7 10383.3
27233.3 10450
26733.3 11683.3
27233.3 11783.3
27433.3 12400
27462.5 12992.2
27153.6 13203.3
27096.1 13415.8
27026.1 13051.9
26283.3 12766.7
26433.3 13433.3
26550 13850
26133.3 14500
23883.3 14533.3
23700 15933.3
23616.7 15866.7
21600 16500
20900 17066.7
20833.3 17100
21600 14966.7
22583.3 14300
21600 14150
21300 13016.7
22183.3 13133.3
22683.3 12716.7
24166.7 13250
25149.2 12365.8
26150 10550
END
DATASET: uy734.tsp
31766.7 56250
31783.3 56250
31800 56133.3
31750 56066.7
31766.7 56016.7
31733.3 55983.3
31816.7 55916.7
31833.3 55933.3
31816.7 55966.7
31833.3 55983.3
31850 56000
31883.3 56000
31916.7 56016.7
31883.3 55966.7
31916.7 55933.3
31900 55883.3
32033.3 55783.3
31833.3 55766.7
31800 55700
31816.7 55500
31750 55466.7
31683.3 55433.3
31583.3 55466.7
31450 55416.7
31350 55383.3
31433.3 55233.3
31500 55166.7
31466.7 55166.7
31366.7 55083.3
31316.7 55200
31250 55333.3
31233.3 55633.3
31216.7 55666.7
31100 55666.7
30966.7 55550
30933.3 55483.3
30900 55516.7
30933.3 55550
31000 55683.3
31166.7 55750
31200 55750
31100 55983.3
31083.3 56016.7
31250 55950
31233.3 55883.3
31300 55866.7
31383.3 55866.7
31366.7 55850
31366.7 55666.7
31533.3 55583.3
31550 55550
31600 55850
31516.7 55766.7
31533.3 55833.3
31516.7 55966.7
31300 56016.7
31500 56033.3
31533.3 56050
31683.3 55950
31700 56100
31683.3 56133.3
31666.7 56166.7
31450 56383.3
31400 56366.7
31283.3 56433.3
31350 56633.3
31416.7 56683.3
31250 56833.3
31033.3 56883.3
31183.3 56933.3
31166.7 57000
31100 57016.7
31083.3 57016.7
31166.7 57083.3
31233.3 57116.7
31300 57100
31300 57066.7
31500 57116.7
31300 57133.3
31300 57150
31300 57200
31250 57166.7
31250 57200
31200 57233.3
31083.3 57516.7
31083.3 57600
30966.7 57533.3
30683.3 57516.7
30733.3 57316.7
30683.3 57033.3
30616.7 56900
30566.7 56883.3
30500 56666.7
30716.7 56600
30733.3 56733.3
30750 56750
30833.3 56750
30950 56650
31016.7 56566.7
31033.3 56600
31083.3 56516.7
31116.7 56466.7
31216.7 56316.7
31183.3 56283.3
31000 56250
30916.7 56300
30866.7 56366.7
30633.3 56166.7
30500 56450
30400 56466.7
30483.3 56516.7
30466.7 56550
30400 56783.3
30316.7 56816.7
30250 56850
30250 56950
30300 56966.7
30166.7 57100
30433.3 57433.3
30250 57583.3
30233.3 57583.3
30133.3 57633.3
30550 57866.7
30600 57683.3
30783.3 57783.3
31083.3 57833.3
31300 57700
31400 57783.3
31350 57783.3
31350 57800
31333.3 57800
31333.3 57833.3
31333.3 57883.3
31350 57983.3
31383.3 57966.7
31550 57950
31666.7 57916.7
31683.3 57683.3
31583.3 57616.7
31516.7 57583.3
31516.7 57533.3
31916.7 57716.7
31950 57883.3
32100 57816.7
32083.3 57916.7
32200 58000
32283.3 58050
32333.3 57933.3
32366.7 57983.3
32321.4 58075.6
32333.3 58133.3
32416.7 58150
32683.3 58133.3
32766.7 57883.3
32750 57750
32766.7 57783.3
32983.3 58050
33132.5 58295.6
33400 58316.7
33616.7 58283.3
33716.7 58266.7
33800 58250
33766.7 58350
33883.3 58416.7
33966.7 58283.3
33989.2 58285.6
34000 58250
33983.3 58250
33950 58233.3
33933.3 58166.7
33983.3 58150
34033.3 58133.3
34153.1 58176.7
34100 58000
34152.2 58012.5
34183.3 57933.3
34200 57866.7
34200 57783.3
34283.3 57616.7
34333.3 57716.7
34300 57733.3
34350 57850
34400 57883.3
34433.3 57883.3
34466.7 57850
34466.7 57716.7
34433.3 57716.7
34416.7 57733.3
34400 57666.7
34450 57600
34366.7 57566.7
34350 57433.3
34266.7 57450
34083.3 57383.3
34066.7 57350
33966.7 57100
33850 57016.7
33866.7 57000
33850 56883.3
33900 56833.3
34150 56950
34200 56983.3
34216.7 57000
34200 57100
34300 57233.3
34316.7 57216.7
34333.3 57233.3
34350 57300
34316.7 57350
34433.3 57416.7
34400 57333.3
34416.7 57283.3
34400 57166.7
34366.7 57066.7
34366.7 57050
34316.7 57000
34283.3 56916.7
34233.3 56866.7
34319.2 56805.3
34316.7 56800
34350 56650
34382.8 56541.7
34400 56533.3
34416.7 56466.7
34442.2 56443.6
34419.7 56422.5
34411.7 56402.2
34383.3 56383.3
34366.7 56400
34351.7 56398.3
34290.6 56388.9
34383.3 56283.3
34400 56333.3
34453.3 56390.6
34500 56383.3
34521.9 56393.6
34533.3 56316.7
34533.3 56300
34605 56356.4
34633.3 56333.3
34589.4 56252.8
34522.8 56277.8
34450 56283.3
34450 56250
34450 56166.7
34449.7 56079.2
34497.5 56037.2
34433.3 55983.3
34450 55783.3
34366.7 55783.3
34350 55766.7
34300 55966.7
34250 55933.3
34233.3 55733.3
34183.3 55733.3
34050 55883.3
33950 55850
33933.3 55683.3
34000 55666.7
34033.3 55650
33866.7 55550
33816.7 55550
33550 55666.7
33483.3 55566.7
33466.7 55616.7
33416.7 55633.3
33350 55616.7
33350 55633.3
33183.3 55700
33066.7 55850
33000 55783.3
32866.7 55916.7
32783.3 55900
32900 56083.3
32900 56133.3
32833.3 56183.3
32800 56416.7
32833.3 56433.3
32866.7 56466.7
33016.7 56483.3
33050 56483.3
33083.3 56183.3
33083.3 55966.7
33116.7 55983.3
33250 56016.7
33483.3 56150
33300 56350
33383.3 56416.7
33333.3 56466.7
33366.7 56483.3
33413.1 56500.6
33483.3 56483.3
33516.7 56400
33600 56350
33750 56466.7
33733.3 56333.3
33833.3 56300
33933.3 56250
34066.7 56300
34050 56200
34095.6 56214.2
34200 56216.7
34283.3 56216.7
34189.2 56339.4
34133.3 56400
34066.7 56383.3
33883.3 56450
33950 56750
34166.7 56683.3
34250 56683.3
34337.5 56713.6
34383.3 56766.7
34483.3 56850
34519.7 56798.9
34583.9 56699.4
34650 56716.7
34650 56750
34683.3 56733.3
34633.3 56619.2
34650 56600
34763.3 56385.3
34790.3 56350
34801.7 56334.2
34875 56258.9
34883.3 56233.3
34908.3 56208.3
34905.3 56194.4
34900 56183.3
34905 56168.3
34922.8 56159.7
34909.7 56152.2
34900 56150
34900 56133.3
34883.3 56150
34870.6 56133.6
34900 56100
34885.3 56060.6
34877.2 56029.7
34860.3 56052.2
34813.1 56044.7
34762.5 56020.6
34733.6 56036.7
34715.3 56073.3
34742.2 56098.3
34781.1 56053.3
34803.1 56085.8
34816.7 56100
34850 56083.3
34850 56116.7
34833.3 56116.7
34828.6 56139.4
34858.1 56170.8
34866.7 56166.7
34883.3 56183.3
34883.3 56200
34883.3 56216.7
34850 56216.7
34850 56233.3
34833.3 56233.3
34833.3 56216.7
34816.7 56183.3
34800 56216.7
34800 56233.3
34764.2 56213.9
34761.7 56223.6
34726.4 56220
34698.3 56217.5
34665 56219.4
34600 56133.3
34646.9 56062.8
34666.7 56000
34633.3 55966.7
34716.7 55950
34700 55900
34650 55866.7
34550 55883.3
34583.3 55833.3
34766.7 55750
34733.3 55716.7
34750 55683.3
34683.3 55683.3
34566.7 55700
34483.3 55650
34483.3 55633.3
34333.3 55650
34333.3 55450
34366.7 55516.7
34500 55583.3
34633.3 55616.7
34716.7 55533.3
34600 55483.3
34716.7 55416.7
34750 55333.3
34800 55366.7
34900 55283.3
34966.7 54950
34900 54950
34866.7 54866.7
34800 54916.7
34800 55233.3
34733.3 55266.7
34666.7 55266.7
34650 55233.3
34516.7 55250
34370 55225
34283.3 55233.3
34366.7 55166.7
34283.3 54983.3
34050 54783.3
34200 54750
34166.7 54666.7
34066.7 54500
33883.3 54716.7
33733.3 54750
33683.3 54650
33716.7 54533.3
33600 54316.7
33533.3 54433.3
33450 54533.3
33533.3 54600
33466.7 54650
33466.7 54666.7
33400 54683.3
33333.3 54783.3
33516.7 54916.7
33850 55166.7
33900 55150
33933.3 55266.7
33750 55283.3
33600 55333.3
33500 55216.7
33466.7 55200
33483.3 55150
33466.7 55116.7
33383.3 55083.3
33266.7 55100
33266.7 55116.7
33100 55133.3
33000 55133.3
33016.7 55050
32916.7 54966.7
33166.7 54966.7
33133.3 54933.3
33116.7 54833.3
33116.7 54816.7
33200 54750
32983.3 54583.3
32833.3 54766.7
32683.3 54633.3
32616.7 54600
32516.7 54583.3
32533.3 54566.7
32516.7 54533.3
32383.3 54350
32466.7 54316.7
32500 54416.7
32650 54450
32750 54400
32650 54250
32933.3 54266.7
32950 54216.7
33050 54150
33050 54066.7
33150 54150
33250 54333.3
33216.7 54383.3
33233.3 54383.3
33266.7 54416.7
33466.7 54200
33666.7 54200
33800 54000
33983.3 53983.3
34033.3 54283.3
34266.7 54316.7
34483.3 54333.3
34600 54550
34666.7 54166.7
34366.7 54066.7
34366.7 53833.3
34400 53783.3
34366.7 53766.7
34183.3 53783.3
34166.7 53833.3
34166.7 53850
34266.7 53933.3
34200 53933.3
34116.7 53950
34066.7 53933.3
33883.3 53500
33683.3 53450
33683.3 53550
33616.7 53716.7
33650 53800
33566.7 53850
33516.7 53783.3
33366.7 53666.7
33266.7 53783.3
33200 53800
33233.3 53850
33250 53900
33250 53916.7
33283.3 53933.3
33250 54016.7
33183.3 53900
33016.7 53700
33000 53633.3
32750 53483.3
32633.3 53300
32583.3 53383.3
32566.7 53416.7
32516.7 53483.3
32483.3 53516.7
32666.7 53616.7
32750 53733.3
32783.3 53833.3
33016.7 53950
32933.3 53950
32700 53966.7
32633.3 53900
32483.3 53716.7
32166.7 53750
32100 53750
32066.7 53766.7
32350 53833.3
32500 54016.7
32366.7 54183.3
32350 54133.3
32200 54066.7
32116.7 54066.7
32166.7 54116.7
32150 54200
32083.3 54250
32033.3 54183.3
32016.7 54200
31983.3 54166.7
32000 54133.3
31900 54150
31833.3 54166.7
31866.7 54200
31783.3 54333.3
31733.3 54416.7
31566.7 54550
31683.3 54650
31816.7 54666.7
31916.7 54733.3
31900 54783.3
31800 54716.7
31783.3 54750
31766.7 54800
31683.3 54766.7
31500 54716.7
31483.3 54833.3
31416.7 54916.7
31516.7 54966.7
31633.3 55000
31750 55016.7
31966.7 55050
32016.7 55066.7
31900 55133.3
31783.3 55150
31816.7 55183.3
31816.7 55216.7
31716.7 55333.3
31800 55333.3
31883.3 55433.3
31900 55466.7
32000 55483.3
31983.3 55683.3
32033.3 55666.7
32083.3 55650
32233.3 55733.3
32250 55750
32216.7 55600
32050 55383.3
32183.3 55283.3
32300 55333.3
32400 55350
32466.7 55233.3
32383.3 55066.7
32233.3 54983.3
32183.3 55033.3
32150 55050
32166.7 55016.7
32150 54950
32150 54883.3
32100 54866.7
32050 54866.7
32050 54633.3
32033.3 54566.7
32383.3 54666.7
32516.7 54683.3
32366.7 54766.7
32266.7 54916.7
32450 55033.3
32633.3 55116.7
32900 55233.3
32966.7 55400
32933.3 55516.7
32883.3 55516.7
32833.3 55483.3
32883.3 55416.7
32766.7 55433.3
32666.7 55450
32533.3 55500
32600 55583.3
32716.7 55600
32766.7 55633.3
32750 55650
32800 55800
32616.7 55833.3
32500 56033.3
32466.7 56166.7
32416.7 56166.7
32450 56033.3
32333.3 55966.7
32333.3 55883.3
32350 55833.3
32266.7 55900
32166.7 55950
32216.7 56016.7
32183.3 56066.7
32150 56116.7
32066.7 56350
32233.3 56500
32250 56516.7
32083.3 56866.7
32400 56716.7
32383.3 56683.3
32350 56550
32416.7 56333.3
32433.3 56350
32483.3 56350
32633.3 56350
32616.7 56483.3
32816.7 56516.7
32633.3 56750
32566.7 56883.3
32683.3 56883.3
32883.3 56800
32800 57050
32933.3 57116.7
33083.3 57433.3
33183.3 57466.7
33250 57333.3
33133.3 57150
33233.3 57133.3
33416.7 57066.7
33333.3 56933.3
33033.3 57000
33200 56783.3
33216.7 56683.3
33500 56750
33500 56866.7
33538.9 56888.6
33550 56900
33533.3 56900
33533.3 56933.3
33600 57133.3
33583.3 57300
33650 57533.3
33683.3 57566.7
33750 57616.7
33750 57483.3
33816.7 57550
33866.7 57516.7
33883.3 57400
33883.3 57383.3
33933.3 57466.7
33866.7 57616.7
33850 57683.3
33883.3 57666.7
34016.7 57650
34066.7 57716.7
34033.3 57833.3
33983.3 57900
33950 57900
33916.7 57783.3
33733.3 57833.3
33716.7 58083.3
33583.3 58083.3
33544.2 58197.2
33255.8 58019.2
33333.3 57950
33600 57983.3
33516.7 57833.3
33450 57733.3
33616.7 57633.3
33583.3 57583.3
33383.3 57550
33166.7 57583.3
33100 57633.3
33100 57733.3
32933.3 57650
32916.7 57733.3
32850 57683.3
32833.3 57716.7
32683.3 57633.3
32716.7 57466.7
32566.7 57483.3
32566.7 57366.7
32416.7 57383.3
32533.3 57133.3
32400 56900
32333.3 57050
32350 57200
32250 57300
32383.3 57500
32416.7 57583.3
32383.3 57600
32516.7 57750
32483.3 57750
32366.7 57850
32333.3 57800
32116.7 57566.7
32000 57583.3
31883.3 57516.7
31883.3 57483.3
31966.7 57516.7
32016.7 57466.7
31983.3 57416.7
32100 57416.7
32016.7 57333.3
32000 57300
31916.7 57250
31883.3 57333.3
31866.7 57283.3
31833.3 57250
32000 57166.7
31633.3 56916.7
31650 56833.3
31616.7 56816.7
31466.7 56833.3
31600 56750
31666.7 56633.3
31766.7 56250
END
DATASET: zi929.tsp
19000 32583.3
18933.3 32583.3
18966.7 32383.3
19166.7 32616.7
19516.7 32550
19650 32466.7
19766.7 32416.7
19966.7 32333.3
19550 32666.7
19550 32783.3
19600 32800
19800 32866.7
20166.7 32783.3
20316.7 32733.3
20200 32616.7
20300 32616.7
20316.7 32650
20366.7 32600
20333.3 32500
20433.3 32483.3
20366.7 32400
20383.3 32250
20550 32400
20666.7 32266.7
20800 32233.3
21433.3 32033.3
21633.3 32100
21466.7 31583.3
21533.3 31483.3
21583.3 31250
21683.3 31316.7
21815.3 31570.8
21944.7 31627.8
22066.7 31416.7
22233.3 30933.3
22200 30783.3
22133.3 30666.7
22083.3 30650
22150 30633.3
22200 30350
22216.7 30000
22116.7 30066.7
22083.3 30150
22016.7 30166.7
21917.2 30027.2
21733.3 29866.7
21966.7 29583.3
22016.7 29366.7
21966.7 29366.7
21916.7 29366.7
21916.7 29200
21850 29350
21850 29400
21433.3 29900
21516.7 29533.3
21700 29200
21666.9 29124.7
21650 28933.3
21516.7 28866.7
21433.3 28855.6
21416.7 28533.3
21500 28083.3
21200 27850
21083.3 27716.7
20600 27850
20483.3 27816.7
20216.7 27766.7
20200 27766.7
20150 27700
20100 27666.7
20116.7 27650
20166.7 27600
20100 27483.3
20233.3 27300
20216.7 27283.3
20150 27300
19966.7 27416.7
19966.7 27400
19916.7 27366.7
19950 27333.3
19933.3 27266.7
19933.3 27233.3
19833.3 27216.7
19766.7 27216.7
19766.7 27316.7
19850 27383.3
19833.3 27400
19850 27416.7
19833.3 27466.7
19766.7 27400
19683.3 27383.3
19666.7 27416.7
19683.3 27433.3
19700 27466.7
19700 27500
19716.7 27583.3
19733.3 27600
19700 27650
19766.7 27616.7
19800 27616.7
19833.3 27633.3
19800 27650
19850 27650
19883.3 27616.7
19933.3 27650
19933.3 27700
19850 27716.7
19816.7 27683.3
19783.3 27683.3
19783.3 27783.3
19833.3 27783.3
19850 27783.3
19916.7 27783.3
20033.3 27766.7
20050 27766.7
20116.7 27900
20100 27950
20033.3 27933.3
19850 27866.7
19800 27833.3
19766.7 27800
19750 27783.3
19750 27766.7
19766.7 27750
19733.3 27716.7
19716.7 27766.7
19633.3 27716.7
19583.3 27733.3
19600 27766.7
19583.3 28033.3
19400 28400
19400 28450
19350 28466.7
19483.3 28566.7
19150 28666.7
19083.3 28716.7
19033.3 28600
19016.7 28550
19016.7 28533.3
18816.7 28650
19000 28900
18733.3 28816.7
18666.7 28683.3
18783.3 28666.7
18766.7 28500
18800 28466.7
18800 28333.3
19100 27966.7
18933.3 27766.7
18716.7 27550
18816.7 27166.7
18883.3 27416.7
18866.7 27433.3
18900 27466.7
18966.7 27416.7
18950 27516.7
19133.3 27533.3
19166.7 27516.7
19183.3 27466.7
19216.7 27483.3
19266.7 27433.3
19283.3 27450
19300 27416.7
19266.7 27400
19266.7 27366.7
19283.3 27333.3
19316.7 27333.3
19316.7 27366.7
19350 27383.3
19350 27400
19366.7 27433.3
19433.3 27400
19483.3 27433.3
19483.3 27450
19516.7 27483.3
19516.7 27533.3
19483.3 27550
19433.3 27550
19450 27516.7
19433.3 27516.7
19433.3 27500
19466.7 27466.7
19383.3 27466.7
19333.3 27500
19333.3 27533.3
19300 27516.7
19300 27533.3
19266.7 27550
19266.7 27516.7
19216.7 27516.7
19183.3 27516.7
19216.7 27533.3
19216.7 27566.7
19183.3 27600
19166.7 27583.3
19133.3 27650
19116.7 27683.3
19183.3 27683.3
19216.7 27700
19250 27716.7
19200 27666.7
19200 27616.7
19233.3 27600
19266.7 27600
19250 27633.3
19283.3 27650
19283.3 27666.7
19316.7 27683.3
19283.3 27633.3
19300 27633.3
19350 27600
19333.3 27633.3
19333.3 27650
19350 27650
19350 27633.3
19383.3 27633.3
19416.7 27633.3
19433.3 27633.3
19483.3 27616.7
19516.7 27650
19466.7 27666.7
19450 27700
19433.3 27700
19400 27666.7
19416.7 27716.7
19500 27716.7
19500 27733.3
19516.7 27750
19550 27750
19583.3 27666.7
19633.3 27683.3
19666.7 27700
19700 27683.3
19650 27650
19666.7 27616.7
19666.7 27566.7
19650 27550
19600 27566.7
19616.7 27516.7
19583.3 27466.7
19550 27416.7
19500 27400
19483.3 27366.7
19466.7 27366.7
19466.7 27316.7
19416.7 27333.3
19400 27283.3
19450 27283.3
19483.3 27283.3
19516.7 27233.3
19533.3 27216.7
19533.3 27283.3
19666.7 27333.3
19666.7 27250
19633.3 27183.3
19650 27150
19666.7 27133.3
19616.7 27116.7
19633.3 27100
19633.3 27066.7
19616.7 27033.3
19650 27050
19650 27083.3
19700 27083.3
19700 27066.7
19700 27033.3
19683.3 27016.7
19666.7 26966.7
19533.3 26916.7
19566.7 27033.3
19550 27050
19566.7 27066.7
19533.3 27083.3
19533.3 27100
19500 27066.7
19483.3 27050
19466.7 27033.3
19450 27016.7
19450 27066.7
19466.7 27066.7
19500 27100
19533.3 27133.3
19566.7 27133.3
19583.3 27133.3
19600 27166.7
19550 27166.7
19483.3 27183.3
19466.7 27200
19483.3 27233.3
19450 27250
19433.3 27233.3
19400 27200
19416.7 27166.7
19466.7 27150
19433.3 27133.3
19400 27083.3
19400 27066.7
19366.7 27050
19416.7 27033.3
19383.3 27016.7
19350 27016.7
19366.7 26983.3
19400 26966.7
19383.3 26916.7
18583.3 26316.7
17933.3 25833.3
18366.7 26483.3
18616.7 26866.7
18616.7 27166.7
18316.7 27066.7
18016.7 27133.3
18216.7 27400
18116.7 27450
17966.7 27500
17900 27300
17616.7 27333.3
17616.7 27716.7
17483.3 27883.3
17533.3 27900
18000 27566.7
18066.7 27833.3
18216.7 27950
18300 27983.3
18416.7 28016.7
18150 28383.3
17850 28900
17683.3 29016.7
18216.7 28933.3
18450 29450
18483.3 29416.7
18983.3 29300
19233.3 29250
19433.3 28950
19500 28750
19683.3 28850
19716.7 28800
19766.7 28766.7
19800 28750
20080 28658.3
20097.8 28680.8
20113.9 28685.6
20106.4 28652.8
20100.6 28652.8
20101.4 28645.3
20100 28638.3
20128.3 28631.1
20133.9 28650.6
20163.9 28652.5
20180.8 28649.2
20174.7 28662.8
20168.3 28671.4
20165.3 28679.4
20187.2 28667.8
20212.2 28681.7
20224.4 28702.5
20233.6 28719.7
20222.2 28711.1
20204.2 28714.7
20208.6 28721.4
20185.8 28735.6
20149.2 28737.2
20083.3 28783.3
20016.7 28850
20000 28933.3
19783.3 29200
19783.3 29366.7
20016.7 29266.7
20216.7 29300
20150 29533.3
20433.3 29683.3
20566.7 29333.3
20516.7 29316.7
20533.3 29283.3
20649.2 29151.4
20516.4 29055.6
20450 29050
20366.7 28983.3
20400 28900
20300 28933.3
20233.3 28916.7
20233.6 28746.7
20237.2 28746.1
20416.7 28600
20229.4 28611.1
20228.6 28618.3
20228.1 28629.4
20227.8 28638.1
20240 28641.9
20228.1 28659.4
20215.8 28664.7
20214.4 28652.5
20193.1 28636.1
20199.4 28631.9
20198.9 28620
20190 28620.6
20183.3 28633.3
20173.1 28630.3
20170.8 28618.1
20161.4 28610
20150 28616.7
20142.2 28622.8
20123.1 28609.7
20123.1 28602.8
20113.6 28604.7
20116.4 28615.3
20103.3 28621.9
20096.1 28622.8
20095 28612.8
20098.6 28611.7
20100.8 28610.3
20093.6 28597.8
20083.3 28590.6
20075 28585.3
20093.3 28586.1
20090.6 28582.2
20092.8 28574.4
20081.1 28568.9
20085 28551.9
20093.1 28553.9
20100 28550
20098.9 28558.9
20101.9 28578.1
20107.5 28591.9
20100.3 28596.4
20103.3 28606.7
20106.4 28605.8
20111.1 28596.9
20119.4 28589.4
20119.4 28583.9
20131.7 28591.1
20131.1 28603.1
20143.3 28616.1
20141.1 28600
20145.8 28594.7
20150 28583.3
20152.5 28584.7
20149.4 28595.3
20158.3 28601.1
20179.4 28609.7
20185 28601.1
20187.8 28593.9
20199.2 28600
20206.9 28609.7
20217.5 28615.6
20214.7 28595.3
20218.6 28589.2
20222.2 28583.6
20220 28578.6
20221.7 28573.9
20205 28595
20206.4 28581.9
20201.9 28577.2
20214.2 28558.3
20198.1 28558.6
20200.8 28567.5
20191.7 28568.3
20194.4 28581.7
20184.4 28586.1
20172.2 28578.6
20171.7 28571.4
20162.8 28568.6
20159.2 28560
20155.6 28553.9
20147.2 28564.4
20141.9 28575.3
20127.8 28578.6
20128.9 28570
20135.6 28568.9
20140.3 28564.4
20138.1 28552.5
20125.3 28543.9
20121.7 28528.6
20136.1 28532.5
20142.5 28531.7
20145 28540.8
20149.2 28529.4
20148.3 28521.1
20154.7 28525.3
20164.2 28525
20160.6 28508.1
20185.3 28495
20185 28516.9
20178.9 28534.2
20197.5 28531.9
20201.7 28534.4
20200 28550
20185.6 28559.2
20167.5 28556.4
20172.8 28542.8
20162.5 28538.9
20152.5 28536.7
20136.1 28517.2
20136.9 28505.8
20146.9 28492.2
20144.4 28473.3
20136.7 28456.9
20137.5 28485.8
20131.7 28494.7
20122.5 28495.6
20120.3 28511.1
20113.9 28527.8
20104.2 28517.5
20100 28500
20108.3 28498.9
20103.3 28475
20077.8 28429.4
20075.8 28406.7
19866.7 28266.7
20225.6 28278.9
20366.7 28333.3
20383.3 28216.7
20700 28066.7
20416.7 28483.3
20600 28383.3
20616.7 28400
20683.3 28416.7
20916.7 28466.7
21050 28450
20916.7 28950
20933.3 29000
20983.3 29033.3
21000 29216.7
21066.7 29366.7
20927.8 29441.7
20800 29533.3
20749.2 29701.4
20483.3 29916.7
20280.6 29884.7
20032.8 29884.7
19916.7 30050
19666.7 30000
19533.3 29933.3
19700 29666.7
19911.1 29691.7
19716.7 29500
19383.3 29600
19366.7 29566.7
19283.3 29616.7
19466.7 29750
19500 29750
19466.7 29766.7
19450 29816.7
19366.7 30016.7
19333.3 30183.3
18950 30283.3
18983.3 30100
18933.3 30050
19033.3 29783.3
19150 29800
19200 29816.7
